event_id,user_id,event_type,timestamp,metadata
EVT_000001,USER_00001,signup,2026-02-15,"{""device"": ""Android""}"
EVT_000002,USER_00001,kyc_complete,2026-02-18,"{""method"": ""video_kyc""}"
EVT_000003,USER_00002,signup,2026-02-02,"{""device"": ""iOS""}"
EVT_000004,USER_00002,kyc_complete,2026-02-12,"{""method"": ""video_kyc""}"
EVT_000005,USER_00002,first_transaction,2026-02-16,"{""amount"": 495}"
EVT_000006,USER_00002,rewards_redemption,2026-02-20,"{""reward_type"": ""points""}"
EVT_000007,USER_00003,signup,2026-02-07,"{""device"": ""Android""}"
EVT_000008,USER_00003,kyc_complete,2026-02-08,"{""method"": ""video_kyc""}"
EVT_000009,USER_00003,rewards_redemption,2026-02-27,"{""reward_type"": ""cashback""}"
EVT_000010,USER_00003,bill_payment,2026-02-20,"{""category"": ""electricity""}"
EVT_000011,USER_00004,signup,2026-02-23,"{""device"": ""Android""}"
EVT_000012,USER_00005,signup,2026-01-11,"{""device"": ""iOS""}"
EVT_000013,USER_00005,kyc_complete,2026-01-24,"{""method"": ""video_kyc""}"
EVT_000014,USER_00005,first_transaction,2026-01-31,"{""amount"": 4888}"
EVT_000015,USER_00005,rewards_redemption,2026-01-22,"{""reward_type"": ""points""}"
EVT_000016,USER_00006,signup,2025-12-19,"{""device"": ""Android""}"
EVT_000017,USER_00007,signup,2025-12-07,"{""device"": ""Android""}"
EVT_000018,USER_00007,kyc_complete,2025-12-17,"{""method"": ""video_kyc""}"
EVT_000019,USER_00007,first_transaction,2025-12-20,"{""amount"": 2134}"
EVT_000020,USER_00007,bill_payment,2025-12-18,"{""category"": ""mobile""}"
EVT_000021,USER_00008,signup,2026-02-20,"{""device"": ""iOS""}"
EVT_000022,USER_00009,signup,2025-12-02,"{""device"": ""Android""}"
EVT_000023,USER_00009,kyc_complete,2025-12-12,"{""method"": ""video_kyc""}"
EVT_000024,USER_00009,first_transaction,2025-12-14,"{""amount"": 1056}"
EVT_000025,USER_00009,rewards_redemption,2025-12-25,"{""reward_type"": ""cashback""}"
EVT_000026,USER_00009,upi_lite_activation,2025-12-21,"{""balance"": 3704}"
EVT_000027,USER_00009,repeat_transaction,2025-12-23,"{""amount"": 2484, ""merchant"": ""Choudhury, Bakshi and Maharaj""}"
EVT_000028,USER_00009,repeat_transaction,2026-01-07,"{""amount"": 1227, ""merchant"": ""Kapoor and Sons""}"
EVT_000029,USER_00010,signup,2026-01-01,"{""device"": ""Android""}"
EVT_000030,USER_00010,upi_lite_activation,2026-01-10,"{""balance"": 163}"
EVT_000031,USER_00010,bill_payment,2026-01-21,"{""category"": ""electricity""}"
EVT_000032,USER_00011,signup,2026-02-26,"{""device"": ""Android""}"
EVT_000033,USER_00011,kyc_complete,2026-02-26,"{""method"": ""video_kyc""}"
EVT_000034,USER_00011,first_transaction,2026-02-28,"{""amount"": 3456}"
EVT_000035,USER_00012,signup,2026-03-01,"{""device"": ""Android""}"
EVT_000036,USER_00012,kyc_complete,2026-02-28,"{""method"": ""video_kyc""}"
EVT_000037,USER_00012,first_transaction,2026-02-26,"{""amount"": 2316}"
EVT_000038,USER_00013,signup,2026-02-27,"{""device"": ""Android""}"
EVT_000039,USER_00014,signup,2026-01-11,"{""device"": ""iOS""}"
EVT_000040,USER_00014,kyc_complete,2026-01-15,"{""method"": ""video_kyc""}"
EVT_000041,USER_00014,first_transaction,2026-01-22,"{""amount"": 4063}"
EVT_000042,USER_00014,upi_lite_activation,2026-01-21,"{""balance"": 258}"
EVT_000043,USER_00014,bill_payment,2026-01-30,"{""category"": ""mobile""}"
EVT_000044,USER_00014,repeat_transaction,2026-01-26,"{""amount"": 2767, ""merchant"": ""Chaudry, Chahal and Sami""}"
EVT_000045,USER_00014,repeat_transaction,2026-02-09,"{""amount"": 2883, ""merchant"": ""Balan Inc""}"
