user_id,age,gender,city,device_type,signup_date,kyc_date,kyc_completed,first_transaction_date,has_transaction,autopay_adopted,rewards_adopted,upi_lite_adopted,bill_pay_adopted,features_adopted,transaction_count,total_spend,avg_transaction_value
USER_00001,58,M,Mumbai,Android,2026-02-15,2026-02-18,True,,False,False,False,False,True,1,0,0,0
USER_00002,65,M,Chennai,iOS,2026-02-02,2026-02-12,True,2026-02-16,True,False,True,False,False,1,1,189,189
USER_00003,20,M,Mumbai,Android,2026-02-07,2026-02-08,True,,False,False,True,False,True,2,1,716,716
USER_00004,53,M,Pune,Android,2026-02-23,,False,,False,False,False,True,False,1,1,529,529
USER_00005,32,F,Hyderabad,iOS,2026-01-11,2026-01-24,True,2026-01-31,True,False,True,False,False,1,0,0,0
USER_00006,28,F,Bangalore,Android,2025-12-19,,False,,False,False,False,False,False,0,1,444,444
USER_00007,24,M,Bangalore,Android,2025-12-07,2025-12-17,True,2025-12-20,True,False,False,False,True,1,1,452,452
USER_00008,20,F,Hyderabad,iOS,2026-02-20,,False,,True,False,False,False,False,0,0,0,0
USER_00009,23,F,Kolkata,Android,2025-12-02,2025-12-12,True,2025-12-14,True,False,True,True,False,2,3,1410,470
USER_00010,63,M,Mumbai,Android,2026-01-01,,False,,True,False,False,True,True,2,2,792,396
USER_00011,23,M,Ahmedabad,Android,2026-02-26,2026-02-26,True,2026-02-28,True,False,False,False,False,0,2,1128,564
USER_00012,41,F,Delhi,Android,2026-03-01,2026-02-28,True,2026-02-26,True,False,False,False,False,0,1,799,799
USER_00013,28,M,Mumbai,Android,2026-02-27,,False,,True,False,True,False,False,1,3,2265,755
USER_00014,62,M,Chennai,iOS,2026-01-11,2026-01-15,True,2026-01-22,True,False,False,True,True,2,3,471,157
USER_00015,20,F,Bangalore,Android,2026-02-22,2026-02-26,True,2026-02-28,True,True,True,False,True,3,9,13149,1461
USER_00016,59,F,Bangalore,iOS,2026-02-28,2026-02-26,True,,False,False,False,False,True,1,2,1138,569
USER_00017,26,M,Pune,Android,2026-02-21,,False,,True,False,False,False,False,0,1,698,698
USER_00018,45,F,Bangalore,iOS,2026-02-23,,False,,False,True,False,False,True,2,9,5247,583
USER_00019,50,F,Mumbai,Android,2026-02-21,,False,,False,False,False,False,False,0,1,212,212
USER_00020,27,M,Kolkata,Android,2026-01-30,2026-02-06,True,,False,False,False,False,False,0,3,495,165
USER_00021,42,F,Hyderabad,iOS,2026-02-02,2026-02-13,True,2026-02-19,True,True,True,False,True,3,12,3876,323
USER_00022,25,F,Pune,Android,2026-02-20,2026-02-27,True,2026-03-01,True,False,False,False,False,0,3,1200,400
USER_00023,47,M,Surat,iOS,2026-01-22,,False,,True,False,True,False,True,2,4,1476,369
USER_00024,50,M,Hyderabad,Android,2025-12-02,2025-12-07,True,,False,False,False,False,False,0,2,1480,740
USER_00025,58,M,Mumbai,iOS,2026-01-25,2026-02-07,True,,False,False,True,False,False,1,0,0,0
USER_00026,51,M,Chennai,Android,2026-01-20,,False,,True,False,False,False,True,1,5,1070,214
USER_00027,41,F,Delhi,Android,2026-01-24,2026-01-26,True,2026-01-27,True,False,False,False,False,0,0,0,0
USER_00028,64,F,Kolkata,iOS,2026-02-11,,False,,True,False,True,False,True,2,0,0,0
